input,output
#asu#,#acu#
#aku#,#aku#
#alaʔ#,#ala#
#ami#,#ami#
#ʔauŋ#,#auŋ#
#ʔabu#,#awu#
#balbal#,#babal#
#bes#,#bes#
#bilaŋ#,#bilaŋ#
#buŋa#,#buŋa#
#seksek#,#cecek#
#sikux#,#ciku#
#susu#,#cucu#
#depah#,#depa#
#enem#,#enem#
#ɡerɡer#,#ɡeɡer#
#ɡisɡis#,#ɡiɡis#
#kalih#,#hali#
#kaen#,#haŋ#
#i#,#i#
#ʔia#,#ia#
#isa#,#ica#
#isi#,#ici#
#ʔipit#,#ipit#
#ita#,#ite#
#ʔiuŋ#,#iuŋ#
#kak#,#kak#
#kakak#,#kakak#
#kepit#,#kempet#
#kuŋkuŋ#,#kuŋkuŋ#
#kukuŋ#,#kuŋkuŋ#
#kuŋkuŋ#,#kuŋkuŋ#
#laŋu#,#laŋu#
#lima#,#lima#
#mamah#,#mama#
#manuk#,#manuk#
#pasek#,#pacek#
#pacek#,#pacek#
#pasu#,#pacu#
#paheku#,#paku#
#panaʔ#,#pana#
#paŋaʔ#,#paŋa#
#paŋa#,#paŋa#
#paʔa#,#paʔa#
#peɲu#,#penu#
#ʔapedʒux#,#pesu#
#piliʔ#,#pile#
#pidʒax#,#pisa#
#puluʔ#,#pulu#
#punti#,#punti#
#daki#,#saki#
#zalan#,#salaŋ#
#danaw#,#sano#
#takep#,#taŋkep#
#telu#,#telu#
#tepuk#,#tempok#
#tepuk#,#tempuk#
#tenun#,#tenuŋ#
#sidu#,#tisu#
#tuked#,#tuker#
#tubah#,#tuwa#
#ʔuaŋ#,#uaŋ#
#ʔuluh#,#ulu#
#ʔumah#,#uma#
#baseʔ#,#waca#
#walu#,#walu#
#bakuŋ#,#waŋkuŋ#
#beli#,#weli#
#beties#,#wetis#
#buaʔ#,#wua#
#bukas#,#wukas#
#paen#,#epaŋ#
#ŋadʒan#,#ŋasaŋ#
#ŋaŋa#,#ŋaŋa#
